type,country,date_added,release_year,rating,duration,listed_in
Movie,United States,13-Mar-20,2020,R,95 min,Dramas
Movie,Turkey,13-Mar-20,2019,TV-14,132 min,"Dramas, International Movies"
TV Show,Iceland,13-Mar-20,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,United States,11-Mar-20,2020,TV-MA,2 Seasons,"Crime TV Shows, Docuseries"
TV Show,United States,11-Mar-20,2020,TV-14,3 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas"
TV Show,"Brazil, United Kingdom",11-Mar-20,2020,TV-MA,1 Season,"International TV Shows, Reality TV"
Movie,"Canada, United States",10-Mar-20,2020,TV-Y7,82 min,Children & Family Movies
Movie,United States,10-Mar-20,2020,TV-MA,71 min,Stand-Up Comedy
Movie,"Pakistan, United States",8-Mar-20,2020,TV-PG,16 min,"Children & Family Movies, Dramas"
Movie,,6-Mar-20,2017,TV-MA,104 min,"Comedies, International Movies"
Movie,South Africa,6-Mar-20,2017,TV-MA,79 min,"Dramas, International Movies, Romantic Movies"
Movie,India,6-Mar-20,2020,TV-MA,120 min,"Dramas, International Movies"
Movie,France,6-Mar-20,2019,TV-MA,82 min,"Dramas, Independent Movies, International Movies"
Movie,United States,6-Mar-20,2019,TV-MA,115 min,"Documentaries, Music & Musicals"
Movie,United States,6-Mar-20,2020,R,111 min,"Action & Adventure, Comedies"
Movie,Spain,6-Mar-20,2020,TV-MA,110 min,"International Movies, Thrillers"
TV Show,United States,6-Mar-20,2020,TV-MA,2 Seasons,Docuseries
Movie,Nigeria,5-Mar-20,2016,TV-PG,121 min,"Dramas, International Movies, Thrillers"
Movie,,5-Mar-20,2020,TV-14,162 min,"Action & Adventure, Comedies, Dramas"
TV Show,India,5-Mar-20,2020,TV-Y,1 Season,"Kids' TV, TV Comedies"
Movie,Thailand,5-Mar-20,2019,TV-MA,108 min,"Comedies, International Movies, LGBTQ Movies"
Movie,"Romania, France, Switzerland, Germany",4-Mar-20,2010,TV-MA,186 min,"Dramas, International Movies"
Movie,United States,4-Mar-20,2019,TV-MA,116 min,"Documentaries, Music & Musicals"
Movie,Romania,4-Mar-20,2005,R,154 min,"Dramas, International Movies"
TV Show,Spain,4-Mar-20,2016,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,"United States, Canada",3-Mar-20,2018,R,105 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
Movie,Brazil,3-Mar-20,2019,TV-Y,71 min,"Children & Family Movies, Comedies, Music & Musicals"
Movie,United States,3-Mar-20,2020,TV-MA,61 min,Stand-Up Comedy
Movie,India,3-Mar-20,2019,TV-14,133 min,"Dramas, Independent Movies, International Movies"
Movie,South Africa,3-Mar-20,2019,TV-MA,98 min,"Dramas, International Movies"
Movie,United Kingdom,3-Mar-20,2011,R,119 min,"Dramas, Romantic Movies"
Movie,United States,2-Mar-20,2020,TV-MA,61 min,Stand-Up Comedy
TV Show,Japan,1-Mar-20,2014,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
TV Show,Germany,1-Mar-20,2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,India,1-Mar-20,2019,TV-14,130 min,"Comedies, Dramas, International Movies"
TV Show,,1-Mar-20,2020,TV-Y,1 Season,Kids' TV
Movie,,1-Mar-20,2019,TV-Y,11 min,Children & Family Movies
Movie,United States,1-Mar-20,2016,TV-MA,87 min,"Dramas, Thrillers"
Movie,"United Kingdom, United States, France",1-Mar-20,2011,PG,127 min,"Children & Family Movies, Dramas"
Movie,United States,1-Mar-20,2016,TV-14,87 min,"Comedies, Dramas, Music & Musicals"
Movie,South Africa,1-Mar-20,2017,TV-14,88 min,"Dramas, International Movies, Romantic Movies"
Movie,United States,1-Mar-20,2007,R,158 min,"Dramas, Independent Movies"
Movie,,1-Mar-20,2020,TV-14,82 min,"Dramas, International Movies, Romantic Movies"
Movie,France,1-Mar-20,2018,TV-MA,93 min,"Documentaries, International Movies"
Movie,"United Kingdom, Canada, United States",1-Mar-20,2019,TV-MA,90 min,"Documentaries, Music & Musicals"
Movie,United States,28-Feb-20,2020,TV-MA,109 min,"Dramas, Romantic Movies"
TV Show,Colombia,28-Feb-20,2019,TV-14,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Movie,India,28-Feb-20,2019,TV-14,72 min,Stand-Up Comedy
TV Show,South Africa,28-Feb-20,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
TV Show,Spain,28-Feb-20,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,Mexico,28-Feb-20,2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,India,27-Feb-20,2020,TV-14,162 min,"Action & Adventure, Comedies, Dramas"
TV Show,United States,27-Feb-20,2020,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas"
TV Show,Japan,27-Feb-20,2020,TV-MA,1 Season,"International TV Shows, TV Dramas"
Movie,Japan,27-Feb-20,2019,TV-Y7,98 min,"Anime Features, Children & Family Movies"
TV Show,Saudi Arabia,27-Feb-20,2020,TV-14,1 Season,TV Shows
Movie,Nigeria,26-Feb-20,2016,TV-14,103 min,"Dramas, International Movies, Romantic Movies"
Movie,Nigeria,26-Feb-20,2015,TV-MA,97 min,"Dramas, International Movies"
TV Show,United States,26-Feb-20,2020,TV-MA,1 Season,"TV Comedies, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Nigeria,26-Feb-20,2015,TV-MA,94 min,"Comedies, Dramas, Independent Movies"
Movie,Nigeria,26-Feb-20,2016,TV-MA,101 min,"Dramas, International Movies"
TV Show,United States,26-Feb-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Movie,,26-Feb-20,2015,TV-MA,138 min,"Dramas, Independent Movies, International Movies"
Movie,Nigeria,26-Feb-20,2014,TV-14,109 min,"International Movies, Romantic Movies"
Movie,United States,25-Feb-20,2020,TV-MA,50 min,Stand-Up Comedy
Movie,United States,23-Feb-20,2019,TV-PG,110 min,"Children & Family Movies, Dramas, Faith & Spirituality"
TV Show,South Korea,23-Feb-20,2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,United States,22-Feb-20,2019,TV-MA,92 min,Horror Movies
TV Show,Canada,22-Feb-20,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries"
TV Show,United States,21-Feb-20,2020,TV-MA,1 Season,"TV Comedies, TV Dramas"
TV Show,South Korea,21-Feb-20,2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
TV Show,,21-Feb-20,2020,TV-G,1 Season,"International TV Shows, Reality TV"
TV Show,Argentina,21-Feb-20,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Movie,Germany,21-Feb-20,2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies"
Movie,India,21-Feb-20,2019,TV-14,101 min,"International Movies, Thrillers"
Movie,United States,21-Feb-20,2020,R,116 min,"Dramas, Thrillers"
Movie,India,21-Feb-20,2020,TV-MA,117 min,"Dramas, International Movies"
Movie,South Africa,20-Feb-20,2012,TV-PG,95 min,"Comedies, International Movies, Music & Musicals"
TV Show,Brazil,20-Feb-20,2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries"
Movie,"Romania, United Kingdom",20-Feb-20,2018,TV-PG,93 min,"Children & Family Movies, Documentaries, International Movies"
TV Show,United States,17-Feb-20,2008,TV-PG,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies"
Movie,"France, Malta, United States",16-Feb-20,2015,R,122 min,"Dramas, Romantic Movies"
Movie,United States,16-Feb-20,2019,TV-MA,102 min,"Dramas, Independent Movies"
Movie,United States,16-Feb-20,2015,R,96 min,"Action & Adventure, Comedies, Romantic Movies"
TV Show,Nigeria,16-Feb-20,2017,TV-MA,1 Season,"International TV Shows, TV Dramas"
Movie,United States,16-Feb-20,2016,R,93 min,"Dramas, Thrillers"
Movie,United States,16-Feb-20,2016,PG-13,93 min,"Horror Movies, Independent Movies"
Movie,,15-Feb-20,2017,TV-Y,72 min,Movies
TV Show,Cyprus,15-Feb-20,2017,TV-Y,1 Season,"Kids' TV, TV Comedies"
Movie,"United Kingdom, France, Belgium, Ireland, United States",14-Feb-20,2019,G,87 min,"Children & Family Movies, Comedies"
Movie,Philippines,14-Feb-20,2019,TV-MA,95 min,"Dramas, International Movies, Romantic Movies"
Movie,Poland,14-Feb-20,2017,TV-MA,33 min,"Comedies, Dramas, Independent Movies"
Movie,Germany,14-Feb-20,2020,TV-MA,113 min,"Comedies, International Movies, Romantic Movies"
Movie,South Africa,14-Feb-20,2010,TV-PG,118 min,"Comedies, International Movies, Music & Musicals"
Movie,India,14-Feb-20,2019,TV-14,171 min,"Dramas, International Movies, Romantic Movies"
TV Show,India,14-Feb-20,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Nigeria,14-Feb-20,2018,TV-14,100 min,"Comedies, International Movies"
Movie,Japan,13-Feb-20,2019,TV-PG,103 min,"Action & Adventure, Anime Features, Children & Family Movies"
TV Show,United States,13-Feb-20,2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows"
TV Show,"Mexico, United States",13-Feb-20,2020,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas"
TV Show,,13-Feb-20,2019,TV-14,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows"
TV Show,Thailand,13-Feb-20,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,South Africa,12-Feb-20,2015,TV-PG,86 min,"Comedies, International Movies, Romantic Movies"
Movie,United States,12-Feb-20,2020,TV-14,102 min,"Comedies, Romantic Movies"
TV Show,United States,12-Feb-20,2018,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
Movie,United States,11-Feb-20,2020,TV-Y7,81 min,"Children & Family Movies, Comedies"
Movie,United States,11-Feb-20,2017,R,101 min,"Dramas, Independent Movies, Thrillers"
Movie,Mexico,11-Feb-20,2020,TV-PG,73 min,"Documentaries, International Movies"
Movie,Indonesia,10-Feb-20,2019,TV-14,96 min,"Dramas, International Movies, Romantic Movies"
TV Show,United States,9-Feb-20,2018,TV-MA,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
Movie,United States,9-Feb-20,2018,TV-MA,106 min,"Dramas, Independent Movies, Thrillers"
Movie,"United States, Norway, Canada",9-Feb-20,2019,PG-13,88 min,Horror Movies
Movie,"Poland, United States",8-Feb-20,2019,TV-MA,103 min,"Dramas, International Movies, Thrillers"
Movie,India,8-Feb-20,2019,TV-14,139 min,"Comedies, Dramas, International Movies"
Movie,Ghana,7-Feb-20,2018,TV-14,89 min,"Dramas, International Movies"
TV Show,United States,7-Feb-20,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
TV Show,Nigeria,7-Feb-20,2018,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,United States,7-Feb-20,2020,R,104 min,"Dramas, Independent Movies"
Movie,India,7-Feb-20,2019,TV-14,124 min,"Dramas, International Movies, Sports Movies"
TV Show,"Canada, United States",7-Feb-20,2020,TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries"
TV Show,,7-Feb-20,2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,United States,7-Feb-20,2017,R,112 min,Dramas
TV Show,United States,7-Feb-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
TV Show,Japan,6-Feb-20,2020,TV-MA,1 Season,"Anime Series, International TV Shows"
Movie,"Kenya, United States",6-Feb-20,2014,TV-14,70 min,Documentaries
TV Show,United States,5-Feb-20,2019,TV-14,8 Seasons,"Crime TV Shows, TV Action & Adventure"
TV Show,United States,5-Feb-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Movie,United States,5-Feb-20,2020,TV-MA,106 min,"Documentaries, Sports Movies"
Movie,United States,4-Feb-20,2020,PG-13,97 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,United States,4-Feb-20,2019,PG,106 min,"Comedies, Faith & Spirituality, Romantic Movies"
Movie,United States,4-Feb-20,2020,TV-14,60 min,Stand-Up Comedy
TV Show,United States,3-Feb-20,2020,TV-PG,3 Seasons,"Kids' TV, TV Comedies"
Movie,India,3-Feb-20,2019,TV-14,148 min,"International Movies, Thrillers"
Movie,Spain,3-Feb-20,2020,TV-MA,122 min,"Dramas, International Movies, Thrillers"
Movie,United States,1-Feb-20,2016,TV-MA,86 min,"Comedies, Dramas, Independent Movies"
Movie,India,1-Feb-20,1994,TV-14,193 min,"Classic Movies, Dramas, International Movies"
TV Show,Japan,1-Feb-20,2015,TV-MA,1 Season,"Anime Series, International TV Shows"
TV Show,South Korea,1-Feb-20,2020,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas"
Movie,United States,1-Feb-20,2017,R,92 min,Movies
Movie,"Canada, South Africa",1-Feb-20,2018,PG-13,94 min,"Comedies, International Movies, Romantic Movies"
TV Show,"France, South Korea, Japan, United States",1-Feb-20,2019,TV-Y7,5 Seasons,"Kids' TV, TV Action & Adventure"
Movie,Netherlands,1-Feb-20,2019,TV-G,82 min,"Children & Family Movies, Comedies, International Movies"
Movie,United Kingdom,1-Feb-20,2020,TV-PG,59 min,Movies
TV Show,Japan,1-Feb-20,2014,TV-MA,1 Season,"Anime Series, International TV Shows"
TV Show,Japan,1-Feb-20,2018,TV-14,1 Season,"Anime Series, International TV Shows"
TV Show,United States,1-Feb-20,2014,TV-Y,1 Season,Kids' TV
Movie,United States,1-Feb-20,2019,TV-MA,89 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
Movie,India,1-Feb-20,1999,TV-G,176 min,"Dramas, International Movies, Music & Musicals"
Movie,Japan,31-Jan-20,2020,TV-MA,116 min,"Dramas, International Movies"
TV Show,Mexico,31-Jan-20,2020,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
Movie,France,31-Jan-20,2016,TV-MA,86 min,"Dramas, International Movies"
Movie,Nigeria,31-Jan-20,2017,TV-14,93 min,"Comedies, Dramas, Independent Movies"
TV Show,Italy,31-Jan-20,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,United States,31-Jan-20,2020,TV-MA,85 min,"Documentaries, Music & Musicals"
TV Show,Spain,31-Jan-20,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,Japan,30-Jan-20,2019,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Movie,United States,30-Jan-20,2009,TV-MA,62 min,Stand-Up Comedy
TV Show,United Kingdom,30-Jan-20,2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
TV Show,United States,30-Jan-20,2020,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
Movie,"France, Belgium",29-Jan-20,2018,TV-MA,112 min,"Dramas, International Movies"
TV Show,,29-Jan-20,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,United Kingdom,29-Jan-20,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV"
TV Show,Brazil,29-Jan-20,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,India,27-Jan-20,2020,TV-14,121 min,"Comedies, International Movies, Romantic Movies"
Movie,India,26-Jan-20,2019,TV-14,133 min,"Comedies, Dramas, Independent Movies"
Movie,India,26-Jan-20,2020,TV-MA,76 min,Stand-Up Comedy
Movie,United States,25-Jan-20,2017,PG,82 min,"Dramas, Independent Movies"
Movie,Taiwan,24-Jan-20,2019,TV-MA,156 min,"Dramas, Independent Movies, International Movies"
Movie,South Africa,24-Jan-20,2015,TV-MA,90 min,"International Movies, Thrillers"
TV Show,,24-Jan-20,2020,TV-MA,1 Season,Docuseries
TV Show,Nigeria,24-Jan-20,2017,TV-14,2 Seasons,"International TV Shows, TV Dramas"
TV Show,United States,24-Jan-20,2020,TV-MA,1 Season,Reality TV
TV Show,United States,24-Jan-20,2020,TV-MA,8 Seasons,"TV Comedies, TV Dramas"
Movie,United States,23-Jan-20,2020,TV-PG,97 min,"Comedies, International Movies, Romantic Movies"
Movie,Mexico,23-Jan-20,2020,TV-MA,51 min,Stand-Up Comedy
TV Show,United States,23-Jan-20,2020,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Horror"
TV Show,Japan,23-Jan-20,2020,TV-14,2 Seasons,"Anime Series, International TV Shows"
TV Show,"Taiwan, Malaysia",23-Jan-20,2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
TV Show,United States,22-Jan-20,2020,TV-14,1 Season,"Docuseries, Science & Nature TV"
TV Show,United States,22-Jan-20,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,"Uruguay, Argentina, Germany, Spain",22-Jan-20,2004,TV-MA,98 min,"Comedies, Dramas, International Movies"
Movie,United States,21-Jan-20,2020,TV-MA,61 min,Stand-Up Comedy
Movie,India,21-Jan-20,2019,TV-14,116 min,"Comedies, Dramas, Independent Movies"
TV Show,United States,20-Jan-20,2011,TV-PG,1 Season,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
Movie,India,20-Jan-20,2019,TV-14,132 min,"Comedies, Dramas, International Movies"
Movie,United States,20-Jan-20,2020,TV-14,17 min,"Dramas, Independent Movies"
Movie,"United States, United Kingdom, France, Germany, Japan",18-Jan-20,2013,R,91 min,"Dramas, Independent Movies"
Movie,United States,17-Jan-20,2020,TV-MA,121 min,"Dramas, Thrillers"
TV Show,Netherlands,17-Jan-20,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror"
TV Show,Canada,17-Jan-20,2020,TV-MA,4 Seasons,"Docuseries, International TV Shows"
TV Show,Germany,17-Jan-20,2020,TV-14,1 Season,"International TV Shows, Reality TV"
TV Show,United States,17-Jan-20,2019,TV-PG,2 Seasons,Reality TV
Movie,United States,16-Jan-20,2019,TV-14,78 min,Horror Movies
TV Show,China,16-Jan-20,2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,"United States, France, Japan",16-Jan-20,2011,PG,95 min,"Children & Family Movies, Comedies"
Movie,United States,16-Jan-20,2019,TV-MA,86 min,"Dramas, Independent Movies"
Movie,"United Kingdom, France, United States",16-Jan-20,2015,R,132 min,"Dramas, International Movies, Thrillers"
Movie,Japan,16-Jan-20,2019,TV-14,107 min,"Action & Adventure, Anime Features, Children & Family Movies"
TV Show,Japan,16-Jan-20,2008,TV-14,1 Season,"Anime Series, International TV Shows"
Movie,"United Kingdom, United States",16-Jan-20,2015,R,122 min,Dramas
Movie,India,15-Jan-20,2018,TV-14,95 min,"Dramas, Independent Movies, International Movies"
Movie,"Spain, France, United States",15-Jan-20,2019,TV-MA,108 min,"Dramas, International Movies, Thrillers"
TV Show,United States,15-Jan-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Movie,Austria,15-Jan-20,2017,R,99 min,"International Movies, Sci-Fi & Fantasy, Thrillers"
Movie,United States,15-Jan-20,2019,TV-MA,103 min,"Action & Adventure, Independent Movies"
Movie,United States,14-Jan-20,2020,TV-MA,66 min,Stand-Up Comedy
TV Show,France,14-Jan-20,2018,TV-Y,1 Season,Kids' TV
Movie,Poland,14-Jan-20,2019,TV-MA,132 min,"Action & Adventure, Dramas, International Movies"
TV Show,,13-Jan-20,2020,TV-G,1 Season,"Kids' TV, TV Comedies, TV Dramas"
Movie,United States,12-Jan-20,2018,TV-14,56 min,Documentaries
Movie,India,12-Jan-20,2019,TV-MA,128 min,"Comedies, Dramas, International Movies"
TV Show,United States,10-Jan-20,2020,TV-14,1 Season,"TV Comedies, TV Dramas"
TV Show,United Kingdom,10-Jan-20,2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
TV Show,United States,10-Jan-20,2020,TV-Y7,4 Seasons,"Kids' TV, TV Comedies"
TV Show,India,10-Jan-20,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,United States,10-Jan-20,2020,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
Movie,United Kingdom,10-Jan-20,2014,R,119 min,"Action & Adventure, Dramas, Independent Movies"
TV Show,Australia,10-Jan-20,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
TV Show,France,10-Jan-20,2020,TV-MA,1 Season,"International TV Shows, Reality TV, TV Comedies"
Movie,United States,9-Jan-20,2020,TV-MA,97 min,"Action & Adventure, Comedies"
TV Show,United States,8-Jan-20,2020,TV-MA,1 Season,"Docuseries, Reality TV, Teen TV Shows"
Movie,United States,7-Jan-20,2017,R,92 min,"Dramas, Independent Movies"
Movie,Spain,7-Jan-20,2020,TV-MA,102 min,"Comedies, Dramas, International Movies"
TV Show,United Kingdom,4-Jan-20,2020,TV-14,1 Season,"British TV Shows, International TV Shows, TV Dramas"
Movie,Mexico,3-Jan-20,2020,TV-14,90 min,"Comedies, International Movies, Romantic Movies"
TV Show,Canada,3-Jan-20,2019,TV-PG,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows"
Movie,India,2-Jan-20,2017,TV-14,129 min,"Dramas, International Movies, Romantic Movies"
TV Show,United States,2-Jan-20,2020,TV-MA,1 Season,"Docuseries, Science & Nature TV"
TV Show,Belgium,2-Jan-20,2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
